Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,407360,240631,34211,200940,883142,2025-02-13
IMOEXF,Изменение,4620,-15105,-9661,10064,-10082,2025-02-13
IMOEXF,Количество лиц,5302,2861,24,21,8208,2025-02-13
SBRF,Открытые позиции,190745,87776,192130,295099,765750,2025-02-13
SBRF,Изменение,-6010,-6398,8317,8705,4614,2025-02-13
SBRF,Количество лиц,4421,2201,74,50,6746,2025-02-13
GAZR,Открытые позиции,142225,80785,197770,259210,679990,2025-02-13
GAZR,Изменение,-11329,3247,2132,-12444,-18394,2025-02-13
GAZR,Количество лиц,2779,1870,44,51,4744,2025-02-13
SMLT,Открытые позиции,267074,174313,3428,96189,541004,2025-02-13
SMLT,Изменение,-21879,-11008,101,-10770,-43556,2025-02-13
SMLT,Количество лиц,1008,810,2,41,1861,2025-02-13
GMKN,Открытые позиции,360555,79394,89675,370836,900460,2025-02-13
GMKN,Изменение,6834,-10570,1090,18494,15848,2025-02-13
GMKN,Количество лиц,1178,633,8,53,1872,2025-02-13
YDEX,Открытые позиции,199433,38248,15375,176560,429616,2025-02-13
YDEX,Изменение,24440,1131,23,23332,48926,2025-02-13
YDEX,Количество лиц,1328,440,6,54,1828,2025-02-13
MGNT,Открытые позиции,65798,74714,161483,152567,454562,2025-02-13
MGNT,Изменение,-4287,-3900,826,439,-6922,2025-02-13
MGNT,Количество лиц,1157,469,8,47,1681,2025-02-13
ISKJ,Открытые позиции,20229,5184,0,15045,40458,2025-02-13
ISKJ,Изменение,2788,-317,0,3105,5576,2025-02-13
ISKJ,Количество лиц,95,31,0,12,138,2025-02-13
VTBR,Открытые позиции,108859,19689,78231,167401,374180,2025-02-13
VTBR,Изменение,3375,-4297,1817,9489,10384,2025-02-13
VTBR,Количество лиц,1481,645,8,21,2155,2025-02-13
SGZH,Открытые позиции,136469,104230,0,32239,272938,2025-02-13
SGZH,Изменение,-5275,-786,-207,-4696,-10964,2025-02-13
SGZH,Количество лиц,732,347,0,23,1102,2025-02-13
TRNF,Открытые позиции,104553,24315,3241,83479,215588,2025-02-13
TRNF,Изменение,-6189,-609,-1111,-6691,-14600,2025-02-13
TRNF,Количество лиц,780,228,4,24,1036,2025-02-13
WUSH,Открытые позиции,51355,20145,1158,32368,105026,2025-02-13
WUSH,Изменение,29,-770,90,889,238,2025-02-13
WUSH,Количество лиц,459,159,3,17,638,2025-02-13
VKCO,Открытые позиции,77800,18795,4934,63939,165468,2025-02-13
VKCO,Изменение,-15393,-306,1024,-14063,-28738,2025-02-13
VKCO,Количество лиц,997,407,6,21,1431,2025-02-13
ALIBABA,Открытые позиции,5955,5787,1167,1335,14244,2025-02-13
ALIBABA,Изменение,1117,1238,-377,-498,1480,2025-02-13
ALIBABA,Количество лиц,360,250,2,2,614,2025-02-13
BAIDU,Открытые позиции,17331,1346,0,15985,34662,2025-02-13
BAIDU,Изменение,49,100,0,-51,98,2025-02-13
BAIDU,Количество лиц,296,42,0,3,341,2025-02-13
SIBN,Открытые позиции,17944,4706,1,13239,35890,2025-02-13
SIBN,Изменение,-2199,-203,0,-1996,-4398,2025-02-13
SIBN,Количество лиц,452,147,1,19,619,2025-02-13
SBERF,Открытые позиции,27295,16358,831,11768,56252,2025-02-13
SBERF,Изменение,-461,-381,-573,-653,-2068,2025-02-13
SBERF,Количество лиц,967,393,8,23,1391,2025-02-13
RNFT,Открытые позиции,25409,48888,26097,2618,103012,2025-02-13
RNFT,Изменение,3815,-4683,-7843,655,-8056,2025-02-13
RNFT,Количество лиц,285,459,2,6,752,2025-02-13
GAZPF,Открытые позиции,39664,28061,10656,22259,100640,2025-02-13
GAZPF,Изменение,105,987,558,-324,1326,2025-02-13
GAZPF,Количество лиц,746,372,7,17,1142,2025-02-13
MVID,Открытые позиции,24870,26448,1626,48,52992,2025-02-13
MVID,Изменение,450,-841,-1509,-218,-2118,2025-02-13
MVID,Количество лиц,177,214,1,3,395,2025-02-13
PIKK,Открытые позиции,8933,85872,79106,2167,176078,2025-02-13
PIKK,Изменение,-1130,-6715,-4179,1406,-10618,2025-02-13
PIKK,Количество лиц,292,1210,6,14,1522,2025-02-13
BELUGA,Открытые позиции,38429,15550,0,22879,76858,2025-02-13
BELUGA,Изменение,-1440,-101,0,-1339,-2880,2025-02-13
BELUGA,Количество лиц,217,63,0,8,288,2025-02-13
MTLR,Открытые позиции,9142,22312,16062,2892,50408,2025-02-13
MTLR,Изменение,-396,1009,1412,7,2032,2025-02-13
MTLR,Количество лиц,439,535,6,14,994,2025-02-13
POSI,Открытые позиции,139307,74299,3298,68306,285210,2025-02-13
POSI,Изменение,-3435,7840,-270,-11545,-7410,2025-02-13
POSI,Количество лиц,1493,555,5,39,2092,2025-02-13
ASTR,Открытые позиции,62750,23750,179,39179,125858,2025-02-13
ASTR,Изменение,4548,2068,69,2549,9234,2025-02-13
ASTR,Количество лиц,478,114,2,10,604,2025-02-13
SOFL,Открытые позиции,20859,2708,0,18151,41718,2025-02-13
SOFL,Изменение,17,-391,0,408,34,2025-02-13
SOFL,Количество лиц,208,60,0,11,279,2025-02-13
ALRS,Открытые позиции,28810,8305,79165,99670,215950,2025-02-13
ALRS,Изменение,949,557,-187,205,1524,2025-02-13
ALRS,Количество лиц,580,274,3,37,894,2025-02-13
NLMK,Открытые позиции,35592,4502,2015,33105,75214,2025-02-13
NLMK,Изменение,-2233,53,12,-2274,-4442,2025-02-13
NLMK,Количество лиц,529,275,4,26,834,2025-02-13
AFLT,Открытые позиции,23998,21151,2217,5064,52430,2025-02-13
AFLT,Изменение,-1303,-1052,-760,-1011,-4126,2025-02-13
AFLT,Количество лиц,534,447,5,18,1004,2025-02-13
BANE,Открытые позиции,5266,14981,10146,431,30824,2025-02-13
BANE,Изменение,434,2273,2010,171,4888,2025-02-13
BANE,Количество лиц,154,149,5,5,313,2025-02-13
RUAL,Открытые позиции,10897,6455,507,4949,22808,2025-02-13
RUAL,Изменение,906,-97,-17,986,1778,2025-02-13
RUAL,Количество лиц,281,162,2,19,464,2025-02-13
LEAS,Открытые позиции,36772,10412,140,26500,73824,2025-02-13
LEAS,Изменение,-603,390,-203,-1196,-1612,2025-02-13
LEAS,Количество лиц,231,87,1,10,329,2025-02-13
AFKS,Открытые позиции,9912,8828,1710,2794,23244,2025-02-13
AFKS,Изменение,-534,-225,-118,-427,-1304,2025-02-13
AFKS,Количество лиц,372,296,3,26,697,2025-02-13
RTKM,Открытые позиции,8817,4897,48329,52249,114292,2025-02-13
RTKM,Изменение,-1673,-64,2,-1607,-3342,2025-02-13
RTKM,Количество лиц,328,162,4,22,516,2025-02-13
SFIN,Открытые позиции,20892,5574,1,15319,41786,2025-02-13
SFIN,Изменение,-1126,-269,0,-857,-2252,2025-02-13
SFIN,Количество лиц,229,57,1,15,302,2025-02-13
MOEX,Открытые позиции,16870,6216,398,11052,34536,2025-02-13
MOEX,Изменение,-779,479,9,-1249,-1540,2025-02-13
MOEX,Количество лиц,527,225,6,31,789,2025-02-13
