Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,449281,170723,34887,313445,968336,2025-01-28
IMOEXF,Изменение,23090,-7615,-14601,16104,16978,2025-01-28
IMOEXF,Количество лиц,5430,2681,23,19,8153,2025-01-28
SBRF-3.25,Открытые позиции,136238,114428,203132,224942,678740,2025-01-28
SBRF-3.25,Изменение,-12147,23410,30120,-5437,35946,2025-01-28
SBRF-3.25,Количество лиц,3971,2944,65,48,7028,2025-01-28
GAZR-3.25,Открытые позиции,144196,82520,197946,259622,684284,2025-01-28
GAZR-3.25,Изменение,-131,1639,-94,-1864,-450,2025-01-28
GAZR-3.25,Количество лиц,2601,2110,38,50,4799,2025-01-28
SMLT-3.25,Открытые позиции,267611,206109,5604,67106,546430,2025-01-28
SMLT-3.25,Изменение,-25011,1566,-308,-26885,-50638,2025-01-28
SMLT-3.25,Количество лиц,1024,1134,2,39,2199,2025-01-28
GMKN-3.25,Открытые позиции,323911,94638,87495,316768,822812,2025-01-28
GMKN-3.25,Изменение,16965,3589,-946,12430,32038,2025-01-28
GMKN-3.25,Количество лиц,1047,565,8,55,1675,2025-01-28
YDEX-3.25,Открытые позиции,176236,35618,12579,153197,377630,2025-01-28
YDEX-3.25,Изменение,-9433,4679,344,-13768,-18178,2025-01-28
YDEX-3.25,Количество лиц,1366,379,6,40,1791,2025-01-28
MGNT-3.25,Открытые позиции,64558,75369,175431,164620,479978,2025-01-28
MGNT-3.25,Изменение,-478,5454,-7673,-13605,-16302,2025-01-28
MGNT-3.25,Количество лиц,1053,655,10,38,1756,2025-01-28
ISKJ-3.25,Открытые позиции,10867,5524,0,5343,21734,2025-01-28
ISKJ-3.25,Изменение,-2944,-406,0,-2538,-5888,2025-01-28
ISKJ-3.25,Количество лиц,101,38,0,6,145,2025-01-28
VTBR-3.25,Открытые позиции,78490,29934,64326,112882,285632,2025-01-28
VTBR-3.25,Изменение,-187,-1732,-753,792,-1880,2025-01-28
VTBR-3.25,Количество лиц,1117,792,12,28,1949,2025-01-28
SGZH-3.25,Открытые позиции,120372,112947,144,7569,241032,2025-01-28
SGZH-3.25,Изменение,-2736,-638,144,-1954,-5184,2025-01-28
SGZH-3.25,Количество лиц,713,407,2,10,1132,2025-01-28
TRNF-3.25,Открытые позиции,95114,34157,6085,67042,202398,2025-01-28
TRNF-3.25,Изменение,687,-593,-6,1274,1362,2025-01-28
