Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,417976,297341,35820,156455,907592,2025-05-21
IMOEXF,Изменение,11851,1939,-8061,1851,7580,2025-05-21
IMOEXF,Количество лиц,7036,2705,24,42,9807,2025-05-21
SBER,Открытые позиции,107866,40143,114193,181916,444118,2025-05-21
SBER,Изменение,-13898,2210,-4086,-20194,-35968,2025-05-21
SBER,Количество лиц,3491,1394,34,68,4987,2025-05-21
GAZP,Открытые позиции,196644,88276,326259,434627,1045806,2025-05-21
GAZP,Изменение,6216,8147,2743,812,17918,2025-05-21
GAZP,Количество лиц,3231,1474,28,77,4810,2025-05-21
SMLT,Открытые позиции,190594,54292,26196,162498,433580,2025-05-21
SMLT,Изменение,-2075,643,-102,-2820,-4354,2025-05-21
SMLT,Количество лиц,899,298,10,21,1228,2025-05-21
GMKN,Открытые позиции,348657,68564,96358,376451,890030,2025-05-21
GMKN,Изменение,20209,7203,2151,15157,44720,2025-05-21
GMKN,Количество лиц,1724,442,18,59,2243,2025-05-21
YDEX,Открытые позиции,122393,27787,1492,96098,247770,2025-05-21
YDEX,Изменение,-5067,2240,1,-7306,-10132,2025-05-21
YDEX,Количество лиц,1210,422,6,43,1681,2025-05-21
MGNT,Открытые позиции,107144,12728,7581,101997,229450,2025-05-21
MGNT,Изменение,-532,1906,100,-2338,-864,2025-05-21
MGNT,Количество лиц,1299,252,6,38,1595,2025-05-21
ABIO,Открытые позиции,3487,478,300,3309,7574,2025-05-21
ABIO,Изменение,37,37,0,0,74,2025-05-21
ABIO,Количество лиц,74,16,1,2,93,2025-05-21
VTBR,Открытые позиции,162264,30794,6672,138142,337872,2025-05-21
VTBR,Изменение,5235,481,-3144,1610,4182,2025-05-21
VTBR,Количество лиц,2260,918,9,48,3235,2025-05-21
SGZH,Открытые позиции,58082,59731,2398,749,120960,2025-05-21
SGZH,Изменение,1270,-1554,-2086,738,-1632,2025-05-21
SGZH,Количество лиц,511,242,2,8,763,2025-05-21
TRNFP,Открытые позиции,141588,30900,21804,132492,326784,2025-05-21
TRNFP,Изменение,-5139,236,2772,-2603,-4734,2025-05-21
TRNFP,Количество лиц,853,178,2,26,1059,2025-05-21
WUSH,Открытые позиции,47571,4830,6433,49174,108008,2025-05-21
WUSH,Изменение,386,24,-185,177,402,2025-05-21
WUSH,Количество лиц,597,117,9,9,732,2025-05-21
VKCO,Открытые позиции,58138,15844,1956,44250,120188,2025-05-21
VKCO,Изменение,1260,-370,-894,736,732,2025-05-21
VKCO,Количество лиц,722,217,4,18,961,2025-05-21
BABA,Открытые позиции,22328,5253,113,17188,44882,2025-05-21
BABA,Изменение,436,10,13,439,898,2025-05-21
BABA,Количество лиц,349,112,2,3,466,2025-05-21
BIDU,Открытые позиции,30229,6422,19,23826,60496,2025-05-21
BIDU,Изменение,-2023,126,0,-2149,-4046,2025-05-21
BIDU,Количество лиц,316,44,1,4,365,2025-05-21
RNFT,Открытые позиции,47675,28591,0,19084,95350,2025-05-21
RNFT,Изменение,612,894,0,-282,1224,2025-05-21
RNFT,Количество лиц,335,150,0,13,498,2025-05-21
MVID,Открытые позиции,8865,8154,339,1050,18408,2025-05-21
MVID,Изменение,574,-394,-357,611,434,2025-05-21
MVID,Количество лиц,143,100,1,7,251,2025-05-21
PIKK,Открытые позиции,35966,23686,6334,18614,84600,2025-05-21
PIKK,Изменение,103,6362,3084,-3175,6374,2025-05-21
PIKK,Количество лиц,609,447,11,13,1080,2025-05-21
BELU,Открытые позиции,55820,46763,265,9322,112170,2025-05-21
BELU,Изменение,753,3072,0,-2319,1506,2025-05-21
